School,Points
Virginia Tech,45
North Dakota State,38
Western Kentucky,38
Chattanooga,35
Missouri,34
Tulsa,30
Memphis,28
Maryland,28
SMU,26
Louisiana-Lafayette,26
Montana State,25
Nevada,25
Wyoming,20
Virginia,20
Liberty,20
Indiana,17
Boise State,17
Stanford,17
North Dakota,17
Sam Houston State,17
Samford,17
Toledo,17
Southern Utah,17
Oregon State,17
Miami (OH),17
Kansas,16
Villanova,16
Fordham,16
Air Force,16
Colorado State,15
UTSA,15
California,15
Southern University,15
Miami (FL),15
Kansas State,15
Wake Forest,14
Coastal Carolina,13
Connecticut,10
UAB,10
South Alabama,10
South Dakota State,8
South Carolina State,8
Brigham Young,7
Missouri State,7
Appalachian State,7
UCF,6
