School,LeagifyPoints,Bid,ProjectedPoints,Difference,Owner
Ohio State,185,70,225,-40,Ross
Texas,135,69,202,-67,Tilo
Michigan,130,140,148,-18,Jawad
Ole Miss,115,40,144,-29,Jared
Georgia,110,69,160,-50,Ross
Texas A&M,80,10,65,15,Ross
Oregon,80,55,116,-36,Jared
South Carolina,75,40,89,-14,AJ
Penn State,65,44,100,-35,AJ
Missouri,65,12,73,-8,Jared
Arizona,65,20,57,8,AJ
Alabama,65,40,95,-30,AJ
Miami (FL),55,32,89,-34,Jared
LSU,55,31,109,-54,Ross
Tennessee,50,25,65,-15,Tilo
Colorado,45,35,84,-39,Tilo
UCLA,45,11,37,8,AJ
Boston College,45,5,42,3,Jared
Iowa State,40,16,52,-12,Jared
Louisville,40,6,35,5,AJ
Arkansas,40,3,36,4,Jared
Boise State,35,27,42,-7,Jawad
North Dakota State,30,60,25,5,Netten
Minnesota,30,7,44,-14,Jared
North Carolina,25,10,47,-22,AJ
Kentucky,25,1,47,-22,Jawad
TCU,25,2,28,-3,Ross
UCF,25,1,22,3,Ross
Illinois,20,40,9,11,Netten
Notre Dame,15,25,75,-60,Jawad
Marshall,15,7,30,-15,Jared
Toledo,10,7,24,-14,AJ
Bowling Green,10,1,12,-2,Netten
Florida State,10,10,46,-36,AJ
Oklahoma State,10,1,22,-12,Jawad
East Carolina,10,1,20,-10,Ross
