Player,Bid,ProjectedPoints,Difference,Owner
Ohio State,70,225,225,Ross
Texas,69,202,202,Tilo
Georgia,69,160,160,Ross
Ole Miss,40,144,144,Jared
Oregon,55,116,116,Jared
Alabama,40,95,95,AJ
South Carolina,40,89,89,AJ
Notre Dame,25,75,75,Jawad
Missouri,12,73,73,Jared
Tennessee,25,65,65,Tilo
Texas A&M,10,65,65,Ross
Arizona,20,57,57,AJ
Iowa,32,55,55,Tilo
Iowa State,16,52,52,Jared
Kentucky,1,47,47,Jawad
North Carolina,10,47,47,AJ
Florida State,10,46,46,AJ
Minnesota,7,44,44,Jared
Boston College,5,42,42,Jared
Virginia Tech,8,39,39,Tilo
Florida,3,37,37,Jared
UCLA,11,37,37,AJ
Arkansas,3,36,36,Jared
Louisville,6,35,35,AJ
Syracuse,3,32,32,Ross
Kansas,15,30,30,Tilo
Marshall,7,30,30,Jared
Maryland,2,29,29,Ross
TCU,2,28,28,Ross
North Dakota State,60,25,25,Netten
Nebraska,3,24,24,AJ
Kansas State,2,24,24,Jawad
Clemson,40,24,24,Netten
Toledo,7,24,24,AJ
Rutgers,12,23,23,Tilo
UCF,1,22,22,Ross
West Virginia,1,22,22,Ross
Oklahoma State,1,22,22,Jawad
Stanford,1,22,22,Jawad
Oklahoma,40,21,21,Netten
California,1,21,21,Tilo
Indiana,1,20,20,Jawad
Texas Tech,4,20,20,Netten
East Carolina,1,20,20,Ross
Auburn,1,19,19,Netten
USC,12,17,17,Netten
Purdue,1,17,17,Tilo
Utah,1,13,13,Jawad
Colorado State,2,12,12,Tilo
Bowling Green,1,12,12,Netten
BYU,1,11,11,Netten
Illinois,40,9,9,Netten
Vanderbilt,1,2,2,Netten
Mississippi State,1,2,2,Jawad
